userName,score,content,at,cleaning,case_folding,normalization,stopword_removal,translated_review,sentiment
Watiyem Mm,3,"kenaoa aplukasunya dibuka lelet banget serink blank putih,padahal saya sering banget pakai gojek",2026-03-31 07:35:46,kenaoa aplukasunya dibuka lelet banget serink putih padahal saya sering banget pakai gojek,kenaoa aplukasunya dibuka lelet banget serink putih padahal saya sering banget pakai gojek,kenaoa aplukasunya dibuka lelet banget serik putih padahal saya sering banget pakai gojek,kenaoa aplukasunya dibuka lelet serik putih saya sering pakai gojek,"why does the application open slowly, serik putih, i often use gojek",negative
Amrullah,5,sangat membantu disaat saat yg mendedak,2026-03-31 07:33:10,sangat membantu disaat saat mendedak,sangat membantu disaat saat mendedak,sangat membantu disayat saat mendedak,sangat membantu disayat saat mendedak,very helpful when sliced ​​when bran,positive
Fauzan Ramadhan,5,bagus,2026-03-31 07:30:07,bagus,bagus,bagus,bagus,good,positive
FAHRUL PATTIKUPANG,5,good,2026-03-31 07:28:44,good,good,good,good,good,positive
Ham Mdc278,5,aplikasi terbaik dan terbagus,2026-03-31 07:26:22,aplikasi terbaik dan terbagus,aplikasi terbaik dan terbagus,aplikasi terbaik dan terbagus,aplikasi terbaik dan terbagus,the best and nicest application,positive
Kristina Tina,5,terima kasih,2026-03-31 07:10:58,terima kasih,terima kasih,terima kasih,terima kasih,thank you,neutral
Sakhuri,5,memuaskan,2026-03-31 07:10:52,memuaskan,memuaskan,memuaskan,memuaskan,satisfying,positive
Kartika Fitrazari,1,"driver gojeknya kurang ajar, numpang berteduh di depan rmh orang tp motornya di naikin sampe hampir nyeruduk pintu rmh, di kasi tau baik2 malah nyolot. gimana sih ini gojek milih driver tp TDK sopan.",2026-03-31 07:01:18,driver gojeknya kurang ajar numpang berteduh depan orang motornya naikin sampe hampir nyeruduk pintu kasi tau malah nyolot gimana sih ini gojek milih driver sopan,driver gojeknya kurang ajar numpang berteduh depan orang motornya naikin sampe hampir nyeruduk pintu kasi tau malah nyolot gimana sih ini gojek milih driver sopan,driver gojeknya kurang ajar numpang berteduh depan orang motornya naikin sampai hampir nyeruduk pintu kasih tau malah menyolot bagaimana sih ini gojek memilih driver sopan,driver gojeknya kurang ajar numpang berteduh orang motornya naikin sampai hampir nyeruduk pintu kasih malah menyolot bagaimana ini gojek memilih driver sopan,"the gojek driver is rude, taking a ride in the shade, the person on the motorbike raises it until it almost hits the door, it's actually striking how gojek chooses such a polite driver.",positive
Muh Ridwan,5,Mantap...,2026-03-31 06:59:19,mantap,mantap,mantap,mantap,excellent,positive
Hary Anto,5,keren,2026-03-31 06:55:54,keren,keren,keren,keren,cool,positive
MyCha Dwi,5,"ini aplikasi gocar saya ko gk bisa dipakai kenapa saldo saya masih banyak,, pengen ngamuk saya kalau gini, semakin error aja ini",2026-03-31 06:53:32,ini aplikasi gocar saya gk bisa dipakai kenapa saldo saya masih banyak pengen ngamuk saya kalau gini semakin error aja ini,ini aplikasi gocar saya gk bisa dipakai kenapa saldo saya masih banyak pengen ngamuk saya kalau gini semakin error aja ini,ini aplikasi gocar saya tidak bisa dipakai kenapa saldo saya masih banyak pengin ngamuk saya kalau begini semakin error saja ini,ini aplikasi gocar saya tidak bisa dipakai kenapa saldo saya masih banyak pengin ngamuk saya kalau begini semakin error saja ini,"i can't use my gocar application, why is my balance still so high, i want to get angry if i do this, it's getting more and more errors",positive
Safia Maulida,5,sangat membantu,2026-03-31 06:46:15,sangat membantu,sangat membantu,sangat membantu,sangat membantu,very helpful,positive
unay bastiansyah,5,memuaskan,2026-03-31 06:45:56,memuaskan,memuaskan,memuaskan,memuaskan,satisfying,positive
kriss boy channel,5,"Murah,cocok buat berangkat kerja",2026-03-31 06:45:25,murah cocok buat berangkat kerja,murah cocok buat berangkat kerja,murah cocok buat berangkat kerja,cocok buat berangkat kerja,suitable for going to work,positive
Salsabhila Nazhifa Amelia,4,bagus,2026-03-31 06:38:17,bagus,bagus,bagus,bagus,good,positive
Muzie Taher,4,"Solusi terbaik,untuk menghemat waktu",2026-03-31 06:34:16,solusi terbaik untuk menghemat waktu,solusi terbaik untuk menghemat waktu,solusi terbaik untuk menghemat waktu,solusi terbaik untuk menghemat waktu,the best solution to save time,positive
kareen draka,5,bagus aplikasinya lancar buat transportasi luar maupun dalam kota.,2026-03-31 06:32:22,bagus aplikasinya lancar buat transportasi luar maupun dalam kota,bagus aplikasinya lancar buat transportasi luar maupun dalam kota,bagus aplikasinya lancar buat transportasi luar maupun dalam kota,bagus aplikasinya lancar buat transportasi luar maupun dalam kota,"good application, smooth for transportation outside and within the city",positive
Zaky Kiya,5,Bagus banget cepat,2026-03-31 06:24:54,bagus banget cepat,bagus banget cepat,bagus banget cepat,bagus cepat,good fast,positive
Marno Marno,5,ya gitu deh,2026-03-31 06:18:12,gitu deh,gitu deh,begitu deh,begitu,so,neutral
pemi mjp,5,baguss,2026-03-31 06:11:19,baguss,baguss,bagus,bagus,good,positive
Nizar Zaidi Hasfi,5,cakep,2026-03-31 05:56:45,cakep,cakep,cakep,cakep,handsome,positive
Ilham Musidiq,4,good,2026-03-31 05:56:32,good,good,good,good,good,positive
Mery Andriana,1,"kebiasaan ngasih driver yang jauh, orang butuh cepat jadinya telat terus walaupun udah pesan 30menit sebelumnya",2026-03-31 05:51:23,kebiasaan ngasih driver yang jauh orang butuh cepat jadinya telat terus walaupun udah pesan sebelumnya,kebiasaan ngasih driver yang jauh orang butuh cepat jadinya telat terus walaupun udah pesan sebelumnya,kebiasaan mengasih driver yang jauh orang butuh cepat jadinya telat terus walaupun sudah pesan sebelumnya,kebiasaan mengasih driver yang jauh orang butuh cepat jadinya telat terus walaupun sudah pesan sebelumnya,"the habit of giving drivers who are far away, people need them quickly, so they are always late even though they have ordered beforehand",positive
Ferri Nita Kumalasari,5,bagus,2026-03-31 05:46:10,bagus,bagus,bagus,bagus,good,positive
Maulana Maulana,5,sagat bagus dan membantu,2026-03-31 05:46:02,sagat bagus dan membantu,sagat bagus dan membantu,sangat bagus dan membantu,sangat bagus dan membantu,very nice and helpful,positive
shrantingjetisjogja,5,ok,2026-03-31 05:43:33,ok,ok,baik,baik,good,positive
Agung Kurnia,3,"order driver lama,kalo sekalinya dapet,jaraknya jauh,sama drivernya juga suka nge cancle,karna dari aplikasinya.",2026-03-31 05:42:00,order driver lama kalo sekalinya dapet jaraknya jauh sama drivernya juga suka nge cancle karna dari aplikasinya,order driver lama kalo sekalinya dapet jaraknya jauh sama drivernya juga suka nge cancle karna dari aplikasinya,order driver lama kalo sekalinya dapat jaraknya jauh sama drivernya juga suka nge cancle karena dari aplikasinya,driver lama sekalinya dapat jaraknya jauh sama drivernya suka nge cancle karena aplikasinya,the driver takes a long time and the driver likes to cancel because of the application,negative
Samsung Galaxys23fe,5,terbantu sangat 1.untuk perantauan seperti saya terkadang jalan yang saya ga tau jadi tau 2. merasa aman ga takut kesasar 3. terbantu untuk transportasi umum bila butuh cepat dan tepat waktu,2026-03-31 05:36:30,terbantu sangat untuk perantauan seperti saya terkadang jalan yang saya ga tau jadi tau merasa aman ga takut kesasar terbantu untuk transportasi umum bila butuh cepat dan tepat waktu,terbantu sangat untuk perantauan seperti saya terkadang jalan yang saya ga tau jadi tau merasa aman ga takut kesasar terbantu untuk transportasi umum bila butuh cepat dan tepat waktu,terbantut sangat untuk perantauan seperti saya terkadang jalan yang saya tidak tau jadi tau merasa aman tidak takut kesasar terbantut untuk transportasi umum bila butuh cepat dan tepat waktu,terbantut sangat untuk perantauan seperti saya terkadang jalan yang saya tidak jadi merasa aman tidak takut kesasar terbantut untuk transportasi umum bila butuh cepat dan tepat waktu,"very helpful for foreigners like me, sometimes i don't feel safe on roads, no fear of getting lost, helpful for public transportation if you need it quickly and on time",positive
Fernando Panjaitan,5,grab lebih bagus ada fitur cod kadal Ama biawak,2026-03-31 05:27:32,grab lebih bagus ada fitur cod kadal ama biawak,grab lebih bagus ada fitur cod kadal ama biawak,grab lebih bagus ada fitur cod kadal sama biawak,grab lebih bagus ada fitur cod kadal sama biawak,"grab is better, it features cod, lizard and monitor lizard",positive
MuhammadUjang Ujang,5,mudah di dapat drivernya begitu juga metode pembayaran nya bisa tunai dan gopay,2026-03-31 05:21:42,mudah dapat drivernya begitu juga metode pembayaran nya bisa tunai dan gopay,mudah dapat drivernya begitu juga metode pembayaran nya bisa tunai dan gopay,mudah dapat drivernya begitu juga metode pembayaran nya bisa tunai dan gopay,mudah dapat drivernya begitu metode pembayaran bisa tunai dan,it's easy to get a driver so the payment method is cash and,positive
Ari Ando,1,update terbaru iya.. tp disc voucher digofood jadi hilang.. pesen makanan jadi mahal.. mohon perbaiki lagi,2026-03-31 05:17:52,update terbaru iya disc voucher digofood jadi hilang pesen makanan jadi mahal mohon perbaiki lagi,update terbaru iya disc voucher digofood jadi hilang pesen makanan jadi mahal mohon perbaiki lagi,update terbaru iya disc voucer digofood jadi hilang pesan makanan jadi mahal mohon perbaiki lagi,update terbaru iya disc voucer digofood jadi hilang pesan makanan jadi mahal mohon perbaiki lagi,"latest update, yes, voucher discounts on gofood disappear, ordering food becomes expensive, please fix it again",neutral
Diah Iswoyo,5,orangnya ramah enak diajak komunikasih😍😍,2026-03-31 05:10:52,orangnya ramah enak diajak komunikasih,orangnya ramah enak diajak komunikasih,orangnya ramah enak diajak komunikasi,orangnya ramah enak diajak komunikasi,the person is friendly and easy to communicate with,positive
ERLINA YULIANI,4,dapet driver jauh terus deh.,2026-03-31 05:10:06,dapet driver jauh terus deh,dapet driver jauh terus deh,dapat driver jauh terus deh,dapat driver jauh terus,can be a remote driver all the time,negative
Siti Patimah,5,sangat baik,2026-03-31 05:07:09,sangat baik,sangat baik,sangat baik,sangat baik,very good,positive
Aqwam Thariq,5,"Memudahkan kebutuhan kita sehari-hari, baik transportasi maupun pesan makan online",2026-03-31 05:00:55,memudahkan kebutuhan kita sehari hari baik transportasi maupun pesan makan online,memudahkan kebutuhan kita sehari hari baik transportasi maupun pesan makan online,memudahkan kebutuhan kita sehari hari baik transportasi maupun pesan makan online,memudahkan kebutuhan kita sehari hari baik transportasi maupun pesan makan online,"makes it easier for our daily needs, both transportation and ordering food online",neutral
Juliantara XD323,1,"saya beli kuota, malah nga masuk, aneh bgt, padahal saya pakai kerja lo, klo mau korup jangan sama rakyat kecil,",2026-03-31 04:59:53,saya beli kuota malah nga masuk aneh padahal saya pakai kerja klo mau korup jangan sama rakyat kecil,saya beli kuota malah nga masuk aneh padahal saya pakai kerja klo mau korup jangan sama rakyat kecil,saya beli kuota malah enggak masuk aneh padahal saya pakai kerja kalo mau korup jangan sama rakyat kecil,saya beli kuota malah enggak masuk aneh saya pakai kerja mau korup jangan sama rakyat kecil,"i bought a quota but it didn't come in. it's strange that i used it to work to be corrupt, not to the small people",negative
Roeihsadzi,5,"Sangat memudahkan klo naik gojek atw gocar,cm klo anak saya mau brgkt sklh pg,knp GK ada yg mau order ya,apa ongkos nya murah.saran saya klo anak sklh pergi pg,tlg dong di respon,jd anak saya GK bolos lg.",2026-03-31 04:59:36,sangat memudahkan klo naik gojek atw gocar klo anak saya mau gk ada mau order apa ongkos nya murah saran saya klo anak pergi dong respon anak saya gk bolos,sangat memudahkan klo naik gojek atw gocar klo anak saya mau gk ada mau order apa ongkos nya murah saran saya klo anak pergi dong respon anak saya gk bolos,sangat memudahkan kalo naik gojek atau gocar kalo anak saya mau tidak ada mau order apa ongkos nya murah saran saya kalo anak pergi dong respons anak saya tidak bolos,sangat memudahkan naik gojek atau gocar anak saya mau tidak ada mau apa ongkos saran saya anak pergi dong respons anak saya tidak bolos,"it's very easy to ride a gojek or gocar, my child wants it or not, what is the fare, my suggestion is that the child goes, please respond, my child doesn't skip class",positive
Ipoer 1604,5,Pelayan & respon mantaps,2026-03-31 04:42:01,pelayan respon mantaps,pelayan respon mantaps,pelayan respons mantap,pelayan respons mantap,steadfast response service,positive
muhammad malik SF,1,"driver pada males, pilih² orderan. kalo trip deket ga ada yang mau ambil",2026-03-31 04:41:06,driver pada males pilih orderan kalo trip deket ga ada yang mau ambil,driver pada males pilih orderan kalo trip deket ga ada yang mau ambil,driver pada malas pilih orderan kalo trip dekat tidak ada yang mau ambil,driver pada malas pilih orderan trip dekat tidak ada yang mau ambil,"the driver was lazy about choosing a nearby trip order, no one wanted to take it",negative
Agen 188,5,OK,2026-03-31 04:35:43,ok,ok,baik,baik,good,positive
XXX TENTACION,1,"login akun dan memetakan lokasi lama untuk penguna baru. bisa 10menit+. alasan jaringan ngak ada, padahal bagus lancar",2026-03-31 04:31:36,login akun dan memetakan lokasi lama untuk penguna baru bisa alasan jaringan ngak ada padahal bagus lancar,login akun dan memetakan lokasi lama untuk penguna baru bisa alasan jaringan ngak ada padahal bagus lancar,login akun dan memetakan lokasi lama untuk pengguna baru bisa alasan jaringan tidak ada padahal bagus lancar,login akun dan memetakan lokasi lama untuk pengguna baru bisa alasan jaringan tidak ada bagus lancar,logging in to an account and mapping the old location to a new user could be the reason the network is not running smoothly,positive
Wilman Pratama,1,"tengah malem laper susah nyari driver, sampe tokona tutup-_-",2026-03-31 04:06:34,tengah malem laper susah nyari driver sampe tokona tutup,tengah malem laper susah nyari driver sampe tokona tutup,tengah malam laper susah mencari driver sampai tokonya tutup,tengah malam laper susah mencari driver sampai tokonya tutup,in the middle of the night i was hungry and it was hard to find a driver until the shop closed,negative
Rico Ronaldo,5,Nice aplication easy for Journey,2026-03-31 04:06:23,nice aplication easy for journey,nice aplication easy for journey,nice aplication easy for journey,nice aplication easy for journey,nice application easy for journey,positive
NAUFAL,5,banyakin promo,2026-03-31 03:54:20,banyakin promo,banyakin promo,membanyaki promo,membanyaki promo,more promotions,positive
Wendra Munib,5,mantap,2026-03-31 03:35:28,mantap,mantap,mantap,mantap,excellent,positive
Rp 750,1,app status Mitra rasa karyawan kebijakannya sangat jelek,2026-03-31 03:35:26,app status mitra rasa karyawan kebijakannya sangat jelek,app status mitra rasa karyawan kebijakannya sangat jelek,aplikasi status mitra rasa karyawan kebijakannya sangat jelek,aplikasi status mitra rasa karyawan kebijakannya sangat jelek,the policy for employee service partner status application is very bad,negative
Otak Atik,2,"payah susah dapet driver giliran dapet di cancel lagi mau ngirim barang susah bener bayar pake gopay gak bisa knp jadi banyak amat masalahnya akhir"" ini",2026-03-31 03:33:31,payah susah dapet driver giliran dapet cancel lagi mau ngirim barang susah bener bayar pake gopay gak bisa jadi banyak amat masalahnya akhir ini,payah susah dapet driver giliran dapet cancel lagi mau ngirim barang susah bener bayar pake gopay gak bisa jadi banyak amat masalahnya akhir ini,payah susah dapat driver giliran dapat cancel lagi mau mengirim barang susah benar bayar pakai gopay enggak bisa jadi banyak amat masalahnya akhir ini,payah susah dapat driver giliran dapat cancel lagi mau mengirim barang susah benar bayar pakai enggak bisa jadi banyak amat masalahnya akhir ini,"it's really hard to get a driver, it's your turn to cancel again, you want to send the goods, it's really hard to pay, it's not possible, there are so many problems these days",negative
Ipa SS,5,good,2026-03-31 03:27:34,good,good,good,good,good,positive
Nurhiyanto Wahyu,5,sangat suport nyaman dan aman,2026-03-31 02:55:59,sangat suport nyaman dan aman,sangat suport nyaman dan aman,sangat sport nyaman dan aman,sangat sport nyaman dan aman,"very sporty, comfortable and safe",positive
Eris Suryadi,5,muantap,2026-03-31 02:53:14,muantap,muantap,mantap,mantap,excellent,positive
Asrori Yahya,5,layanan cepat dan mudah,2026-03-31 02:45:06,layanan cepat dan mudah,layanan cepat dan mudah,layanan cepat dan mudah,layanan cepat dan mudah,fast and easy service,positive
jae_054,5,baik,2026-03-31 02:35:58,baik,baik,baik,baik,good,positive
Jerry Sdt,1,"aplikasi buruk, salah transfer ke no lama yg hp nya ilang minta di aktifkan ke no baru sama dana nya, bukti tf ada KTP ada, no minal masuk dia sudah tau tapi tetep susah banget .... padahal gak besar ampun Banget gojek gopay",2026-03-31 02:28:17,aplikasi buruk salah transfer lama hp nya ilang minta aktifkan baru sama dana nya bukti ada ada minal masuk dia sudah tau tapi tetep susah banget padahal gak besar ampun banget gojek gopay,aplikasi buruk salah transfer lama hp nya ilang minta aktifkan baru sama dana nya bukti ada ada minal masuk dia sudah tau tapi tetep susah banget padahal gak besar ampun banget gojek gopay,aplikasi buruk salah transfer lama handphone nya hilang meminta aktifkan baru sama dana nya bukti ada ada minal masuk dia sudah tau tapi tetap susah banget padahal enggak besar ampun banget gojek gopay,aplikasi buruk salah transfer lama handphone hilang meminta aktifkan baru sama bukti ada ada minal masuk sudah tapi tetap susah enggak besar ampun gojek,"bad application, wrong transfer, long time lost, cellphone is lost, asks to activate it again, with proof that there is a deposit, it's already entered, but it's still difficult, no big deal, gojek",negative
Rahmad Efendi,5,ok,2026-03-31 02:24:58,ok,ok,baik,baik,good,positive
Edi Suryanto,5,aplikasi masa kini yang sangat membantu,2026-03-31 02:19:45,aplikasi masa kini yang sangat membantu,aplikasi masa kini yang sangat membantu,aplikasi masa kini yang sangat membantu,aplikasi masa kini yang sangat membantu,today's applications are very helpful,positive
Arif Alhabsi,5,mantap pokoknya,2026-03-31 02:17:24,mantap pokoknya,mantap pokoknya,mantap pokoknya,mantap pokoknya,really good,positive
AL,1,byk GOCAR SERING MENYETUJUI tp tdk merespon chat dan tdk datang,2026-03-31 02:17:04,gocar sering menyetujui merespon chat dan datang,gocar sering menyetujui merespon chat dan datang,gocar sering menyetujui merespons chat dan datang,gocar sering menyetujui merespons chat dan datang,gocar often agrees to respond to chat and comes,neutral
luh Putu,5,ok,2026-03-31 01:43:55,ok,ok,baik,baik,good,positive
Richard Nbbn,5,Pokonya bagi saya pengguna Apknya bagus deh....,2026-03-31 01:13:56,pokonya bagi saya pengguna apknya bagus deh,pokonya bagi saya pengguna apknya bagus deh,pokoknya bagi saya pengguna apknya bagus deh,pokoknya bagi saya pengguna apknya bagus,"basically, for me, the apk user is good",positive
Edho M Rosyid,1,Rating bagus tapi jadi yang paling sering dirugikan gojek.,2026-03-31 01:05:52,rating bagus tapi jadi yang paling sering dirugikan gojek,rating bagus tapi jadi yang paling sering dirugikan gojek,ranting bagus tapi jadi yang paling sering dirugikan gojek,ranting bagus tapi jadi yang paling sering dirugikan gojek,twigs are good but are the ones that gojek suffers the most harm from,positive
A. Andini Dinda Adisqa,1,"sy pesan makanan dekat rumah tp malah drivernya ambil pesanan saya trus terima orderan lain dan itu lokasinya di Pallangga jauh dari lokasi saya di sungguminasa. mana drivernya gabisa dihubungi, anak saya sampe udah kambuh maagnya nungguin muntah-muntah dia, dan pesanan jg gabisa dibatalin terpaksa pesan dua kali tp bayarnya dua juga",2026-03-31 01:04:03,pesan makanan dekat rumah malah drivernya ambil pesanan saya trus terima orderan lain dan itu lokasinya pallangga jauh dari lokasi saya sungguminasa mana drivernya gabisa dihubungi anak saya sampe udah kambuh maagnya nungguin muntah muntah dia dan pesanan gabisa dibatalin terpaksa pesan dua kali bayarnya dua juga,pesan makanan dekat rumah malah drivernya ambil pesanan saya trus terima orderan lain dan itu lokasinya pallangga jauh dari lokasi saya sungguminasa mana drivernya gabisa dihubungi anak saya sampe udah kambuh maagnya nungguin muntah muntah dia dan pesanan gabisa dibatalin terpaksa pesan dua kali bayarnya dua juga,pesan makanan dekat rumah malah drivernya ambil pesanan saya terus terima orderan lain dan itu lokasinya pallangga jauh dari lokasi saya sungguminasa mana drivernya enggak bisa dihubungi anak saya sampai sudah kambuh maagnya menunggu muntah muntah dia dan pesanan enggak bisa dibatalin terpaksa pesan dua kali bayarnya dua juga,pesan makanan dekat rumah malah drivernya ambil pesanan saya terus terima orderan lain dan itu lokasinya pallangga jauh lokasi saya sungguminasa mana drivernya enggak bisa dihubungi anak saya sampai sudah kambuh maagnya menunggu muntah muntah dan pesanan enggak bisa dibatalin terpaksa pesan dua kali bayarnya dua,"ordered food near my house instead the driver took my order and then received another order and that location was far away from my location in sungguminasa where the driver couldn't be contacted by my child until his stomach relapsed, waiting for vomiting and the order couldn't be cancelled, forced to order twice and pay twice",negative
Dimas Kris,5,Mantaap,2026-03-31 00:40:28,mantaap,mantaap,mantap,mantap,excellent,positive
Ajat Sudrajat (Adjedoang),5,Mantap,2026-03-31 00:36:22,mantap,mantap,mantap,mantap,excellent,positive
Chandra Pradipta,1,Aplikasi penagih hutang,2026-03-31 00:17:14,aplikasi penagih hutang,aplikasi penagih hutang,aplikasi penagih hutang,aplikasi penagih hutang,debt collection application,neutral
Nuryadi Yadi,5,Baik.,2026-03-31 00:14:27,baik,baik,baik,baik,good,positive
andi shevchenko,5,"enak, murah, bisa paylater juga😍👍🏻",2026-03-31 00:13:37,enak murah bisa paylater juga,enak murah bisa paylater juga,enak murah bisa paylater juga,enak bisa paylater,it's nice to be able to pay later,positive
Eriska Widianti,5,bisa diandalin saat keburu-buru,2026-03-31 00:09:19,bisa diandalin saat keburu buru,bisa diandalin saat keburu buru,bisa diandalin saat keburu buru,bisa diandalin saat keburu buru,can be relied on when you are in a hurry,neutral
Indratno Amd,4,"untuk anter sekolah anak driver jemput perjalanan 9 menit,sesek ngak tu... mau cancel kasihan nunggu kelamaan. apa ngak ada driver terdekat wooii...gojek",2026-03-31 00:06:50,untuk anter sekolah anak driver jemput perjalanan menit sesek ngak mau cancel kasihan nunggu kelamaan apa ngak ada driver terdekat wooii gojek,untuk anter sekolah anak driver jemput perjalanan menit sesek ngak mau cancel kasihan nunggu kelamaan apa ngak ada driver terdekat wooii gojek,untuk santer sekolah anak driver jemput perjalanan menit sesek tidak mau cancel kasihan menunggu kelamaan apa tidak ada driver terdekat wooii gojek,untuk santer sekolah anak driver jemput perjalanan menit sesek tidak mau cancel kasihan menunggu kelamaan apa tidak ada driver terdekat wooii gojek,"for children's school days, the driver picks up the trip in a few minutes, doesn't want to cancel, sorry for waiting so long, isn't there a driver nearby, wooii gojek",negative
Arya Harmadika,5,sngat membantu,2026-03-30 23:57:09,membantu,membantu,membantu,membantu,help,neutral
ellaa,1,"ngga ngerti lagi sama ini apk lelet bgt, udh pake harga yg paling mahal tapi ga dapet driver🥰🥰",2026-03-30 23:55:46,ngga ngerti lagi sama ini apk lelet udh pake harga paling mahal tapi ga dapet driver,ngga ngerti lagi sama ini apk lelet udh pake harga paling mahal tapi ga dapet driver,enggak mengerti lagi sama ini aplikasi lelet sudah pakai harga paling mahal tapi tidak dapat driver,enggak mengerti lagi sama ini aplikasi lelet sudah pakai harga paling mahal tapi tidak dapat driver,"i don't understand anymore, this slow application is already using the highest price but can't get a driver",negative
Ika Invansona,5,ok,2026-03-30 23:54:47,ok,ok,baik,baik,good,positive
Fitria Nova,2,kenapa sekarang pesen Go Ride itu lama banget gak ada yg ngambil pesenan yah... bayar dah normal kadang ngasih tip juga,2026-03-30 23:51:39,kenapa sekarang pesen ride itu lama banget gak ada ngambil pesenan yah bayar dah normal kadang ngasih tip juga,kenapa sekarang pesen ride itu lama banget gak ada ngambil pesenan yah bayar dah normal kadang ngasih tip juga,kenapa sekarang pesan ride itu lama banget enggak ada ngambil persenan ya bayar deh normal kadang mengasih tip juga,kenapa sekarang pesan ride itu lama enggak ada ngambil persenan bayar normal kadang mengasih tip,"why is it now taking a long time to order a drive, don't take the normal pay gratuity, sometimes give a tip",positive
Fahri Joe,1,SEMAKIN MAHAL dan TIDAK REKOMEN 🥵,2026-03-30 23:45:54,semakin mahal dan tidak rekomen,semakin mahal dan tidak rekomen,semakin mahal dan tidak rekomen,semakin mahal dan tidak rekomen,more expensive and not recommended,neutral
Dikha,1,lama dapet driver telat mulu anjjggg,2026-03-30 23:41:40,lama dapet driver telat mulu,lama dapet driver telat mulu,lama dapat driver telat mulu,lama dapat driver telat,took a long time to get a late driver,negative
Hendra Saputra,1,"pesanan lama, pas dapet driver posisi jauh , gojek udah bodoh",2026-03-30 23:41:36,pesanan lama pas dapet driver posisi jauh gojek udah bodoh,pesanan lama pas dapet driver posisi jauh gojek udah bodoh,pesanan lama pas dapat driver posisi jauh gojek sudah bodoh,pesanan lama pas dapat driver posisi jauh gojek sudah bodoh,"the order took a long time when i got the driver from a remote position, gojek was already stupid",negative
Ardany Arlita,1,makin sulit cari driver perbaikin dong sistem nya kasian user yang jadi korban,2026-03-30 23:39:43,makin sulit cari driver perbaikin dong sistem nya kasian user yang jadi korban,makin sulit cari driver perbaikin dong sistem nya kasian user yang jadi korban,makin sulit cari driver memperbaiki dong sistem nya kasihan user yang jadi korban,makin sulit cari driver memperbaiki dong sistem kasihan user yang jadi korban,"it's getting harder and harder to find drivers to fix the system, sorry for the users who are victims",negative
Satu Enam,1,"lelet banget bikin sya telat sekolah,udh di booking dr awal waktu aja masi gada yg bsa d dapet",2026-03-30 23:34:48,lelet banget bikin sya telat sekolah udh booking awal waktu aja masi gada bsa dapet,lelet banget bikin sya telat sekolah udh booking awal waktu aja masi gada bsa dapet,lelet banget bikin saya telat sekolah sudah booking awal waktu saja masih enggak ada bisa dapat,lelet saya telat sekolah sudah booking awal waktu saja masih enggak ada bisa dapat,"i'm late for school, i booked early, but i still can't get it",negative
Ubil Ubil,3,susah dapet gojeknya,2026-03-30 23:28:14,susah dapet gojeknya,susah dapet gojeknya,susah dapat gojeknya,susah dapat gojeknya,it's hard to get a taxi,negative
