userName,score,content,at,clean_content,sentiment,cleaning,case_folding,normalization,stopword_removal
Muh Ridwan,5,Mantap...,2026-03-31 06:59:19,mantap,positif,mantap,mantap,mantap,mantap
Hary Anto,5,keren,2026-03-31 06:55:54,keren,positif,keren,keren,keren,keren
MyCha Dwi,5,"ini aplikasi gocar saya ko gk bisa dipakai kenapa saldo saya masih banyak,, pengen ngamuk saya kalau gini, semakin error aja ini",2026-03-31 06:53:32,ini aplikasi gocar saya ko gk bisa dipakai kenapa saldo saya masih banyak pengen ngamuk saya kalau gini semakin error aja ini,positif,ini aplikasi gocar saya gk bisa dipakai kenapa saldo saya masih banyak pengen ngamuk saya kalau gini semakin error aja ini,ini aplikasi gocar saya gk bisa dipakai kenapa saldo saya masih banyak pengen ngamuk saya kalau gini semakin error aja ini,ini aplikasi gocar saya tidak bisa dipakai kenapa saldo saya masih banyak pengin ngamuk saya kalau begini semakin error saja ini,ini aplikasi gocar saya tidak bisa dipakai kenapa saldo saya masih banyak pengin ngamuk saya kalau begini semakin error saja ini
Safia Maulida,5,sangat membantu,2026-03-31 06:46:15,sangat membantu,positif,sangat membantu,sangat membantu,sangat membantu,sangat membantu
unay bastiansyah,5,memuaskan,2026-03-31 06:45:56,memuaskan,positif,memuaskan,memuaskan,memuaskan,memuaskan
kriss boy channel,5,"Murah,cocok buat berangkat kerja",2026-03-31 06:45:25,murahcocok buat berangkat kerja,positif,murah cocok buat berangkat kerja,murah cocok buat berangkat kerja,murah cocok buat berangkat kerja,cocok buat berangkat kerja
Salsabhila Nazhifa Amelia,4,bagus,2026-03-31 06:38:17,bagus,positif,bagus,bagus,bagus,bagus
Muzie Taher,4,"Solusi terbaik,untuk menghemat waktu",2026-03-31 06:34:16,solusi terbaikuntuk menghemat waktu,positif,solusi terbaik untuk menghemat waktu,solusi terbaik untuk menghemat waktu,solusi terbaik untuk menghemat waktu,solusi terbaik untuk menghemat waktu
kareen draka,5,bagus aplikasinya lancar buat transportasi luar maupun dalam kota.,2026-03-31 06:32:22,bagus aplikasinya lancar buat transportasi luar maupun dalam kota,positif,bagus aplikasinya lancar buat transportasi luar maupun dalam kota,bagus aplikasinya lancar buat transportasi luar maupun dalam kota,bagus aplikasinya lancar buat transportasi luar maupun dalam kota,bagus aplikasinya lancar buat transportasi luar maupun dalam kota
Zaky Kiya,5,Bagus banget cepat,2026-03-31 06:24:54,bagus banget cepat,positif,bagus banget cepat,bagus banget cepat,bagus banget cepat,bagus cepat
Marno Marno,5,ya gitu deh,2026-03-31 06:18:12,ya gitu deh,positif,gitu deh,gitu deh,begitu deh,begitu
pemi mjp,5,baguss,2026-03-31 06:11:19,baguss,positif,baguss,baguss,bagus,bagus
Nizar Zaidi Hasfi,5,cakep,2026-03-31 05:56:45,cakep,positif,cakep,cakep,cakep,cakep
Ilham Musidiq,4,good,2026-03-31 05:56:32,good,positif,good,good,good,good
Mery Andriana,1,"kebiasaan ngasih driver yang jauh, orang butuh cepat jadinya telat terus walaupun udah pesan 30menit sebelumnya",2026-03-31 05:51:23,kebiasaan ngasih driver yang jauh orang butuh cepat jadinya telat terus walaupun udah pesan menit sebelumnya,negatif,kebiasaan ngasih driver yang jauh orang butuh cepat jadinya telat terus walaupun udah pesan sebelumnya,kebiasaan ngasih driver yang jauh orang butuh cepat jadinya telat terus walaupun udah pesan sebelumnya,kebiasaan mengasih driver yang jauh orang butuh cepat jadinya telat terus walaupun sudah pesan sebelumnya,kebiasaan mengasih driver yang jauh orang butuh cepat jadinya telat terus walaupun sudah pesan sebelumnya
Ferri Nita Kumalasari,5,bagus,2026-03-31 05:46:10,bagus,positif,bagus,bagus,bagus,bagus
Maulana Maulana,5,sagat bagus dan membantu,2026-03-31 05:46:02,sagat bagus dan membantu,positif,sagat bagus dan membantu,sagat bagus dan membantu,sangat bagus dan membantu,sangat bagus dan membantu
shrantingjetisjogja,5,ok,2026-03-31 05:43:33,ok,positif,ok,ok,baik,baik
Agung Kurnia,3,"order driver lama,kalo sekalinya dapet,jaraknya jauh,sama drivernya juga suka nge cancle,karna dari aplikasinya.",2026-03-31 05:42:00,order driver lamakalo sekalinya dapetjaraknya jauhsama drivernya juga suka nge canclekarna dari aplikasinya,netral,order driver lama kalo sekalinya dapet jaraknya jauh sama drivernya juga suka nge cancle karna dari aplikasinya,order driver lama kalo sekalinya dapet jaraknya jauh sama drivernya juga suka nge cancle karna dari aplikasinya,order driver lama kalo sekalinya dapat jaraknya jauh sama drivernya juga suka nge cancle karena dari aplikasinya,driver lama sekalinya dapat jaraknya jauh sama drivernya suka nge cancle karena aplikasinya
Samsung Galaxys23fe,5,terbantu sangat 1.untuk perantauan seperti saya terkadang jalan yang saya ga tau jadi tau 2. merasa aman ga takut kesasar 3. terbantu untuk transportasi umum bila butuh cepat dan tepat waktu,2026-03-31 05:36:30,terbantu sangat untuk perantauan seperti saya terkadang jalan yang saya ga tau jadi tau merasa aman ga takut kesasar terbantu untuk transportasi umum bila butuh cepat dan tepat waktu,positif,terbantu sangat untuk perantauan seperti saya terkadang jalan yang saya ga tau jadi tau merasa aman ga takut kesasar terbantu untuk transportasi umum bila butuh cepat dan tepat waktu,terbantu sangat untuk perantauan seperti saya terkadang jalan yang saya ga tau jadi tau merasa aman ga takut kesasar terbantu untuk transportasi umum bila butuh cepat dan tepat waktu,terbantut sangat untuk perantauan seperti saya terkadang jalan yang saya tidak tau jadi tau merasa aman tidak takut kesasar terbantut untuk transportasi umum bila butuh cepat dan tepat waktu,terbantut sangat untuk perantauan seperti saya terkadang jalan yang saya tidak jadi merasa aman tidak takut kesasar terbantut untuk transportasi umum bila butuh cepat dan tepat waktu
Fernando Panjaitan,5,grab lebih bagus ada fitur cod kadal Ama biawak,2026-03-31 05:27:32,grab lebih bagus ada fitur cod kadal ama biawak,positif,grab lebih bagus ada fitur cod kadal ama biawak,grab lebih bagus ada fitur cod kadal ama biawak,grab lebih bagus ada fitur cod kadal sama biawak,grab lebih bagus ada fitur cod kadal sama biawak
MuhammadUjang Ujang,5,mudah di dapat drivernya begitu juga metode pembayaran nya bisa tunai dan gopay,2026-03-31 05:21:42,mudah di dapat drivernya begitu juga metode pembayaran nya bisa tunai dan gopay,positif,mudah dapat drivernya begitu juga metode pembayaran nya bisa tunai dan gopay,mudah dapat drivernya begitu juga metode pembayaran nya bisa tunai dan gopay,mudah dapat drivernya begitu juga metode pembayaran nya bisa tunai dan gopay,mudah dapat drivernya begitu metode pembayaran bisa tunai dan
Ari Ando,1,update terbaru iya.. tp disc voucher digofood jadi hilang.. pesen makanan jadi mahal.. mohon perbaiki lagi,2026-03-31 05:17:52,update terbaru iya tp disc voucher digofood jadi hilang pesen makanan jadi mahal mohon perbaiki lagi,negatif,update terbaru iya disc voucher digofood jadi hilang pesen makanan jadi mahal mohon perbaiki lagi,update terbaru iya disc voucher digofood jadi hilang pesen makanan jadi mahal mohon perbaiki lagi,update terbaru iya disc voucer digofood jadi hilang pesan makanan jadi mahal mohon perbaiki lagi,update terbaru iya disc voucer digofood jadi hilang pesan makanan jadi mahal mohon perbaiki lagi
Diah Iswoyo,5,orangnya ramah enak diajak komunikasih😍😍,2026-03-31 05:10:52,orangnya ramah enak diajak komunikasih,positif,orangnya ramah enak diajak komunikasih,orangnya ramah enak diajak komunikasih,orangnya ramah enak diajak komunikasi,orangnya ramah enak diajak komunikasi
ERLINA YULIANI,4,dapet driver jauh terus deh.,2026-03-31 05:10:06,dapet driver jauh terus deh,positif,dapet driver jauh terus deh,dapet driver jauh terus deh,dapat driver jauh terus deh,dapat driver jauh terus
Siti Patimah,5,sangat baik,2026-03-31 05:07:09,sangat baik,positif,sangat baik,sangat baik,sangat baik,sangat baik
Aqwam Thariq,5,"Memudahkan kebutuhan kita sehari-hari, baik transportasi maupun pesan makan online",2026-03-31 05:00:55,memudahkan kebutuhan kita seharihari baik transportasi maupun pesan makan online,positif,memudahkan kebutuhan kita sehari hari baik transportasi maupun pesan makan online,memudahkan kebutuhan kita sehari hari baik transportasi maupun pesan makan online,memudahkan kebutuhan kita sehari hari baik transportasi maupun pesan makan online,memudahkan kebutuhan kita sehari hari baik transportasi maupun pesan makan online
Juliantara XD323,1,"saya beli kuota, malah nga masuk, aneh bgt, padahal saya pakai kerja lo, klo mau korup jangan sama rakyat kecil,",2026-03-31 04:59:53,saya beli kuota malah nga masuk aneh bgt padahal saya pakai kerja lo klo mau korup jangan sama rakyat kecil,negatif,saya beli kuota malah nga masuk aneh padahal saya pakai kerja klo mau korup jangan sama rakyat kecil,saya beli kuota malah nga masuk aneh padahal saya pakai kerja klo mau korup jangan sama rakyat kecil,saya beli kuota malah enggak masuk aneh padahal saya pakai kerja kalo mau korup jangan sama rakyat kecil,saya beli kuota malah enggak masuk aneh saya pakai kerja mau korup jangan sama rakyat kecil
Roeihsadzi,5,"Sangat memudahkan klo naik gojek atw gocar,cm klo anak saya mau brgkt sklh pg,knp GK ada yg mau order ya,apa ongkos nya murah.saran saya klo anak sklh pergi pg,tlg dong di respon,jd anak saya GK bolos lg.",2026-03-31 04:59:36,sangat memudahkan klo naik gojek atw gocarcm klo anak saya mau brgkt sklh pgknp gk ada yg mau order yaapa ongkos nya murahsaran saya klo anak sklh pergi pgtlg dong di responjd anak saya gk bolos lg,positif,sangat memudahkan klo naik gojek atw gocar klo anak saya mau gk ada mau order apa ongkos nya murah saran saya klo anak pergi dong respon anak saya gk bolos,sangat memudahkan klo naik gojek atw gocar klo anak saya mau gk ada mau order apa ongkos nya murah saran saya klo anak pergi dong respon anak saya gk bolos,sangat memudahkan kalo naik gojek atau gocar kalo anak saya mau tidak ada mau order apa ongkos nya murah saran saya kalo anak pergi dong respons anak saya tidak bolos,sangat memudahkan naik gojek atau gocar anak saya mau tidak ada mau apa ongkos saran saya anak pergi dong respons anak saya tidak bolos
Ipoer 1604,5,Pelayan & respon mantaps,2026-03-31 04:42:01,pelayan respon mantaps,positif,pelayan respon mantaps,pelayan respon mantaps,pelayan respons mantap,pelayan respons mantap
muhammad malik SF,1,"driver pada males, pilih² orderan. kalo trip deket ga ada yang mau ambil",2026-03-31 04:41:06,driver pada males pilih orderan kalo trip deket ga ada yang mau ambil,negatif,driver pada males pilih orderan kalo trip deket ga ada yang mau ambil,driver pada males pilih orderan kalo trip deket ga ada yang mau ambil,driver pada malas pilih orderan kalo trip dekat tidak ada yang mau ambil,driver pada malas pilih orderan trip dekat tidak ada yang mau ambil
Agen 188,5,OK,2026-03-31 04:35:43,ok,positif,ok,ok,baik,baik
XXX TENTACION,1,"login akun dan memetakan lokasi lama untuk penguna baru. bisa 10menit+. alasan jaringan ngak ada, padahal bagus lancar",2026-03-31 04:31:36,login akun dan memetakan lokasi lama untuk penguna baru bisa menit alasan jaringan ngak ada padahal bagus lancar,negatif,login akun dan memetakan lokasi lama untuk penguna baru bisa alasan jaringan ngak ada padahal bagus lancar,login akun dan memetakan lokasi lama untuk penguna baru bisa alasan jaringan ngak ada padahal bagus lancar,login akun dan memetakan lokasi lama untuk pengguna baru bisa alasan jaringan tidak ada padahal bagus lancar,login akun dan memetakan lokasi lama untuk pengguna baru bisa alasan jaringan tidak ada bagus lancar
Wilman Pratama,1,"tengah malem laper susah nyari driver, sampe tokona tutup-_-",2026-03-31 04:06:34,tengah malem laper susah nyari driver sampe tokona tutup,negatif,tengah malem laper susah nyari driver sampe tokona tutup,tengah malem laper susah nyari driver sampe tokona tutup,tengah malam laper susah mencari driver sampai tokonya tutup,tengah malam laper susah mencari driver sampai tokonya tutup
Rico Ronaldo,5,Nice aplication easy for Journey,2026-03-31 04:06:23,nice aplication easy for journey,positif,nice aplication easy for journey,nice aplication easy for journey,nice aplication easy for journey,nice aplication easy for journey
NAUFAL,5,banyakin promo,2026-03-31 03:54:20,banyakin promo,positif,banyakin promo,banyakin promo,membanyaki promo,membanyaki promo
Wendra Munib,5,mantap,2026-03-31 03:35:28,mantap,positif,mantap,mantap,mantap,mantap
Rp 750,1,app status Mitra rasa karyawan kebijakannya sangat jelek,2026-03-31 03:35:26,app status mitra rasa karyawan kebijakannya sangat jelek,negatif,app status mitra rasa karyawan kebijakannya sangat jelek,app status mitra rasa karyawan kebijakannya sangat jelek,aplikasi status mitra rasa karyawan kebijakannya sangat jelek,aplikasi status mitra rasa karyawan kebijakannya sangat jelek
Otak Atik,2,"payah susah dapet driver giliran dapet di cancel lagi mau ngirim barang susah bener bayar pake gopay gak bisa knp jadi banyak amat masalahnya akhir"" ini",2026-03-31 03:33:31,payah susah dapet driver giliran dapet di cancel lagi mau ngirim barang susah bener bayar pake gopay gak bisa knp jadi banyak amat masalahnya akhir ini,negatif,payah susah dapet driver giliran dapet cancel lagi mau ngirim barang susah bener bayar pake gopay gak bisa jadi banyak amat masalahnya akhir ini,payah susah dapet driver giliran dapet cancel lagi mau ngirim barang susah bener bayar pake gopay gak bisa jadi banyak amat masalahnya akhir ini,payah susah dapat driver giliran dapat cancel lagi mau mengirim barang susah benar bayar pakai gopay enggak bisa jadi banyak amat masalahnya akhir ini,payah susah dapat driver giliran dapat cancel lagi mau mengirim barang susah benar bayar pakai enggak bisa jadi banyak amat masalahnya akhir ini
Ipa SS,5,good,2026-03-31 03:27:34,good,positif,good,good,good,good
Nurhiyanto Wahyu,5,sangat suport nyaman dan aman,2026-03-31 02:55:59,sangat suport nyaman dan aman,positif,sangat suport nyaman dan aman,sangat suport nyaman dan aman,sangat sport nyaman dan aman,sangat sport nyaman dan aman
Eris Suryadi,5,muantap,2026-03-31 02:53:14,muantap,positif,muantap,muantap,mantap,mantap
Asrori Yahya,5,layanan cepat dan mudah,2026-03-31 02:45:06,layanan cepat dan mudah,positif,layanan cepat dan mudah,layanan cepat dan mudah,layanan cepat dan mudah,layanan cepat dan mudah
jae_054,5,baik,2026-03-31 02:35:58,baik,positif,baik,baik,baik,baik
Jerry Sdt,1,"aplikasi buruk, salah transfer ke no lama yg hp nya ilang minta di aktifkan ke no baru sama dana nya, bukti tf ada KTP ada, no minal masuk dia sudah tau tapi tetep susah banget .... padahal gak besar ampun Banget gojek gopay",2026-03-31 02:28:17,aplikasi buruk salah transfer ke no lama yg hp nya ilang minta di aktifkan ke no baru sama dana nya bukti tf ada ktp ada no minal masuk dia sudah tau tapi tetep susah banget padahal gak besar ampun banget gojek gopay,negatif,aplikasi buruk salah transfer lama hp nya ilang minta aktifkan baru sama dana nya bukti ada ada minal masuk dia sudah tau tapi tetep susah banget padahal gak besar ampun banget gojek gopay,aplikasi buruk salah transfer lama hp nya ilang minta aktifkan baru sama dana nya bukti ada ada minal masuk dia sudah tau tapi tetep susah banget padahal gak besar ampun banget gojek gopay,aplikasi buruk salah transfer lama handphone nya hilang meminta aktifkan baru sama dana nya bukti ada ada minal masuk dia sudah tau tapi tetap susah banget padahal enggak besar ampun banget gojek gopay,aplikasi buruk salah transfer lama handphone hilang meminta aktifkan baru sama bukti ada ada minal masuk sudah tapi tetap susah enggak besar ampun gojek
Rahmad Efendi,5,ok,2026-03-31 02:24:58,ok,positif,ok,ok,baik,baik
Edi Suryanto,5,aplikasi masa kini yang sangat membantu,2026-03-31 02:19:45,aplikasi masa kini yang sangat membantu,positif,aplikasi masa kini yang sangat membantu,aplikasi masa kini yang sangat membantu,aplikasi masa kini yang sangat membantu,aplikasi masa kini yang sangat membantu
Arif Alhabsi,5,mantap pokoknya,2026-03-31 02:17:24,mantap pokoknya,positif,mantap pokoknya,mantap pokoknya,mantap pokoknya,mantap pokoknya
AL,1,byk GOCAR SERING MENYETUJUI tp tdk merespon chat dan tdk datang,2026-03-31 02:17:04,byk gocar sering menyetujui tp tdk merespon chat dan tdk datang,negatif,gocar sering menyetujui merespon chat dan datang,gocar sering menyetujui merespon chat dan datang,gocar sering menyetujui merespons chat dan datang,gocar sering menyetujui merespons chat dan datang
luh Putu,5,ok,2026-03-31 01:43:55,ok,positif,ok,ok,baik,baik
Richard Nbbn,5,Pokonya bagi saya pengguna Apknya bagus deh....,2026-03-31 01:13:56,pokonya bagi saya pengguna apknya bagus deh,positif,pokonya bagi saya pengguna apknya bagus deh,pokonya bagi saya pengguna apknya bagus deh,pokoknya bagi saya pengguna apknya bagus deh,pokoknya bagi saya pengguna apknya bagus
Edho M Rosyid,1,Rating bagus tapi jadi yang paling sering dirugikan gojek.,2026-03-31 01:05:52,rating bagus tapi jadi yang paling sering dirugikan gojek,negatif,rating bagus tapi jadi yang paling sering dirugikan gojek,rating bagus tapi jadi yang paling sering dirugikan gojek,ranting bagus tapi jadi yang paling sering dirugikan gojek,ranting bagus tapi jadi yang paling sering dirugikan gojek
A. Andini Dinda Adisqa,1,"sy pesan makanan dekat rumah tp malah drivernya ambil pesanan saya trus terima orderan lain dan itu lokasinya di Pallangga jauh dari lokasi saya di sungguminasa. mana drivernya gabisa dihubungi, anak saya sampe udah kambuh maagnya nungguin muntah-muntah dia, dan pesanan jg gabisa dibatalin terpaksa pesan dua kali tp bayarnya dua juga",2026-03-31 01:04:03,sy pesan makanan dekat rumah tp malah drivernya ambil pesanan saya trus terima orderan lain dan itu lokasinya di pallangga jauh dari lokasi saya di sungguminasa mana drivernya gabisa dihubungi anak saya sampe udah kambuh maagnya nungguin muntahmuntah dia dan pesanan jg gabisa dibatalin terpaksa pesan dua kali tp bayarnya dua juga,negatif,pesan makanan dekat rumah malah drivernya ambil pesanan saya trus terima orderan lain dan itu lokasinya pallangga jauh dari lokasi saya sungguminasa mana drivernya gabisa dihubungi anak saya sampe udah kambuh maagnya nungguin muntah muntah dia dan pesanan gabisa dibatalin terpaksa pesan dua kali bayarnya dua juga,pesan makanan dekat rumah malah drivernya ambil pesanan saya trus terima orderan lain dan itu lokasinya pallangga jauh dari lokasi saya sungguminasa mana drivernya gabisa dihubungi anak saya sampe udah kambuh maagnya nungguin muntah muntah dia dan pesanan gabisa dibatalin terpaksa pesan dua kali bayarnya dua juga,pesan makanan dekat rumah malah drivernya ambil pesanan saya terus terima orderan lain dan itu lokasinya pallangga jauh dari lokasi saya sungguminasa mana drivernya enggak bisa dihubungi anak saya sampai sudah kambuh maagnya menunggu muntah muntah dia dan pesanan enggak bisa dibatalin terpaksa pesan dua kali bayarnya dua juga,pesan makanan dekat rumah malah drivernya ambil pesanan saya terus terima orderan lain dan itu lokasinya pallangga jauh lokasi saya sungguminasa mana drivernya enggak bisa dihubungi anak saya sampai sudah kambuh maagnya menunggu muntah muntah dan pesanan enggak bisa dibatalin terpaksa pesan dua kali bayarnya dua
Dimas Kris,5,Mantaap,2026-03-31 00:40:28,mantaap,positif,mantaap,mantaap,mantap,mantap
Ajat Sudrajat (Adjedoang),5,Mantap,2026-03-31 00:36:22,mantap,positif,mantap,mantap,mantap,mantap
Chandra Pradipta,1,Aplikasi penagih hutang,2026-03-31 00:17:14,aplikasi penagih hutang,negatif,aplikasi penagih hutang,aplikasi penagih hutang,aplikasi penagih hutang,aplikasi penagih hutang
Nuryadi Yadi,5,Baik.,2026-03-31 00:14:27,baik,positif,baik,baik,baik,baik
andi shevchenko,5,"enak, murah, bisa paylater juga😍👍🏻",2026-03-31 00:13:37,enak murah bisa paylater juga,positif,enak murah bisa paylater juga,enak murah bisa paylater juga,enak murah bisa paylater juga,enak bisa paylater
Eriska Widianti,5,bisa diandalin saat keburu-buru,2026-03-31 00:09:19,bisa diandalin saat keburuburu,positif,bisa diandalin saat keburu buru,bisa diandalin saat keburu buru,bisa diandalin saat keburu buru,bisa diandalin saat keburu buru
Indratno Amd,4,"untuk anter sekolah anak driver jemput perjalanan 9 menit,sesek ngak tu... mau cancel kasihan nunggu kelamaan. apa ngak ada driver terdekat wooii...gojek",2026-03-31 00:06:50,untuk anter sekolah anak driver jemput perjalanan menitsesek ngak tu mau cancel kasihan nunggu kelamaan apa ngak ada driver terdekat wooiigojek,positif,untuk anter sekolah anak driver jemput perjalanan menit sesek ngak mau cancel kasihan nunggu kelamaan apa ngak ada driver terdekat wooii gojek,untuk anter sekolah anak driver jemput perjalanan menit sesek ngak mau cancel kasihan nunggu kelamaan apa ngak ada driver terdekat wooii gojek,untuk santer sekolah anak driver jemput perjalanan menit sesek tidak mau cancel kasihan menunggu kelamaan apa tidak ada driver terdekat wooii gojek,untuk santer sekolah anak driver jemput perjalanan menit sesek tidak mau cancel kasihan menunggu kelamaan apa tidak ada driver terdekat wooii gojek
Arya Harmadika,5,sngat membantu,2026-03-30 23:57:09,sngat membantu,positif,membantu,membantu,membantu,membantu
ellaa,1,"ngga ngerti lagi sama ini apk lelet bgt, udh pake harga yg paling mahal tapi ga dapet driver🥰🥰",2026-03-30 23:55:46,ngga ngerti lagi sama ini apk lelet bgt udh pake harga yg paling mahal tapi ga dapet driver,negatif,ngga ngerti lagi sama ini apk lelet udh pake harga paling mahal tapi ga dapet driver,ngga ngerti lagi sama ini apk lelet udh pake harga paling mahal tapi ga dapet driver,enggak mengerti lagi sama ini aplikasi lelet sudah pakai harga paling mahal tapi tidak dapat driver,enggak mengerti lagi sama ini aplikasi lelet sudah pakai harga paling mahal tapi tidak dapat driver
Ika Invansona,5,ok,2026-03-30 23:54:47,ok,positif,ok,ok,baik,baik
Fitria Nova,2,kenapa sekarang pesen Go Ride itu lama banget gak ada yg ngambil pesenan yah... bayar dah normal kadang ngasih tip juga,2026-03-30 23:51:39,kenapa sekarang pesen go ride itu lama banget gak ada yg ngambil pesenan yah bayar dah normal kadang ngasih tip juga,negatif,kenapa sekarang pesen ride itu lama banget gak ada ngambil pesenan yah bayar dah normal kadang ngasih tip juga,kenapa sekarang pesen ride itu lama banget gak ada ngambil pesenan yah bayar dah normal kadang ngasih tip juga,kenapa sekarang pesan ride itu lama banget enggak ada ngambil persenan ya bayar deh normal kadang mengasih tip juga,kenapa sekarang pesan ride itu lama enggak ada ngambil persenan bayar normal kadang mengasih tip
Fahri Joe,1,SEMAKIN MAHAL dan TIDAK REKOMEN 🥵,2026-03-30 23:45:54,semakin mahal dan tidak rekomen,negatif,semakin mahal dan tidak rekomen,semakin mahal dan tidak rekomen,semakin mahal dan tidak rekomen,semakin mahal dan tidak rekomen
Dikha,1,lama dapet driver telat mulu anjjggg,2026-03-30 23:41:40,lama dapet driver telat mulu anjjggg,negatif,lama dapet driver telat mulu,lama dapet driver telat mulu,lama dapat driver telat mulu,lama dapat driver telat
