userName,score,content,at,clean_content,sentiment
IDN AINUN,5,👍👍👍,2026-03-31 00:14:58,,positif
Nuryadi Yadi,5,Baik.,2026-03-31 00:14:27,baik,positif
andi shevchenko,5,"enak, murah, bisa paylater juga😍👍🏻",2026-03-31 00:13:37,enak murah bisa paylater juga,positif
Eriska Widianti,5,bisa diandalin saat keburu-buru,2026-03-31 00:09:19,bisa diandalin saat keburuburu,positif
Indratno Amd,4,"untuk anter sekolah anak driver jemput perjalanan 9 menit,sesek ngak tu... mau cancel kasihan nunggu kelamaan. apa ngak ada driver terdekat wooii...gojek",2026-03-31 00:06:50,untuk anter sekolah anak driver jemput perjalanan menitsesek ngak tu mau cancel kasihan nunggu kelamaan apa ngak ada driver terdekat wooiigojek,positif
Dip Yuw,5,siiip,2026-03-31 00:06:42,siiip,positif
Arya Harmadika,5,sngat membantu,2026-03-30 23:57:09,sngat membantu,positif
ellaa,1,"ngga ngerti lagi sama ini apk lelet bgt, udh pake harga yg paling mahal tapi ga dapet driver🥰🥰",2026-03-30 23:55:46,ngga ngerti lagi sama ini apk lelet bgt udh pake harga yg paling mahal tapi ga dapet driver,negatif
Ika Invansona,5,ok,2026-03-30 23:54:47,ok,positif
Fitria Nova,2,kenapa sekarang pesen Go Ride itu lama banget gak ada yg ngambil pesenan yah... bayar dah normal kadang ngasih tip juga,2026-03-30 23:51:39,kenapa sekarang pesen go ride itu lama banget gak ada yg ngambil pesenan yah bayar dah normal kadang ngasih tip juga,negatif
Fahri Joe,1,SEMAKIN MAHAL dan TIDAK REKOMEN 🥵,2026-03-30 23:45:54,semakin mahal dan tidak rekomen,negatif
Dikha,1,lama dapet driver telat mulu anjjggg,2026-03-30 23:41:40,lama dapet driver telat mulu anjjggg,negatif
Hendra Saputra,1,"pesanan lama, pas dapet driver posisi jauh , gojek udah bodoh",2026-03-30 23:41:36,pesanan lama pas dapet driver posisi jauh gojek udah bodoh,negatif
Ardany Arlita,1,makin sulit cari driver perbaikin dong sistem nya kasian user yang jadi korban,2026-03-30 23:39:43,makin sulit cari driver perbaikin dong sistem nya kasian user yang jadi korban,negatif
Satu Enam,1,"lelet banget bikin sya telat sekolah,udh di booking dr awal waktu aja masi gada yg bsa d dapet",2026-03-30 23:34:48,lelet banget bikin sya telat sekolahudh di booking dr awal waktu aja masi gada yg bsa d dapet,negatif
Ubil Ubil,3,susah dapet gojeknya,2026-03-30 23:28:14,susah dapet gojeknya,netral
Pponyo Picolo,3,"sekarang nyari driver susah, pada ga MW ambil",2026-03-30 23:25:32,sekarang nyari driver susah pada ga mw ambil,netral
FAIRUZTRANS,5,tolong banget nih kak goride hemat tolong cepetin pencarian driver nya mak,2026-03-30 23:23:38,tolong banget nih kak goride hemat tolong cepetin pencarian driver nya mak,positif
SEPTIA PUTRA,2,suka susah dapat driver gak rekomend bat payah,2026-03-30 23:21:36,suka susah dapat driver gak rekomend bat payah,negatif
Gilang Goper,5,puas,2026-03-30 23:20:56,puas,positif
Fadhlurrahman NF,5,ok,2026-03-30 23:17:42,ok,positif
Arsyilla Syilla,5,mempercepat perjalanan apabila dibutuhkan,2026-03-30 23:16:08,mempercepat perjalanan apabila dibutuhkan,positif
Firman Syah,1,"selalu susah dan tidak dapat driver kalo pagi pagi order, padahal pagi itu jam jam rawan anak mau berangkat sekolah... sekelas gojek ga ada yang bersedia",2026-03-30 23:08:03,selalu susah dan tidak dapat driver kalo pagi pagi order padahal pagi itu jam jam rawan anak mau berangkat sekolah sekelas gojek ga ada yang bersedia,negatif
Hagai gabriel L.T,1,tolong lah gojek jangan rakus akhir akhir ini driver jadi makin jauh dapet lokasi saya tau maksud fitur yang baru yang tambah 3000 untuk cari driver lokasi dekat tapi bukan begini,2026-03-30 23:05:35,tolong lah gojek jangan rakus akhir akhir ini driver jadi makin jauh dapet lokasi saya tau maksud fitur yang baru yang tambah untuk cari driver lokasi dekat tapi bukan begini,negatif
Nur Halim Alma'mury,5,menyenangkan....,2026-03-30 22:53:00,menyenangkan,positif
Putri Kholifa,3,"susah sekali dpt gojek, sudah pakai yg paling mahal pun ditolak, 30 menit nungguinnya.",2026-03-30 22:52:28,susah sekali dpt gojek sudah pakai yg paling mahal pun ditolak menit nungguinnya,netral
Yuma,4,ini kenapa ya saldo kepotong 72.000 padahal order gocar gak dapat??? sudah yang kedua kalinya nihhh kacauuuu!!,2026-03-30 22:39:14,ini kenapa ya saldo kepotong padahal order gocar gak dapat sudah yang kedua kalinya nihhh kacauuuu,positif
Disney Family,1,"hati2 para pelanggan, saya memakai app ini sdh sgt lama dan hr ini sy sgt kecewa krn 3 hari lalu sy memesan makanan tp 2 item oleh resto di bilang abis, bgtu makanan tiba sy byr driver lgsg tancap gas tanpa memberi sy uang kembalian dan lngsung di end chat. sy buat laporan hingga 3 hr bertele2 di minta foto berulang kali n di blg gk bs lapor sth 24 jam pdhl sy lapor saat itu jg tp pihak gojek yg sengaja meresponnya keesokan hari. Hati2 aja para pengguna app gojek jika beli makanan.",2026-03-30 22:27:19,hati para pelanggan saya memakai app ini sdh sgt lama dan hr ini sy sgt kecewa krn hari lalu sy memesan makanan tp item oleh resto di bilang abis bgtu makanan tiba sy byr driver lgsg tancap gas tanpa memberi sy uang kembalian dan lngsung di end chat sy buat laporan hingga hr bertele di minta foto berulang kali n di blg gk bs lapor sth jam pdhl sy lapor saat itu jg tp pihak gojek yg sengaja meresponnya keesokan hari hati aja para pengguna app gojek jika beli makanan,negatif
Syafiq Mochammad,5,👍,2026-03-30 22:18:56,,positif
Vemby Aditya Herman,1,"APK OJEK MAKIN GOBLOKKKKKK, GADA BAGUSNYA KNTL",2026-03-30 21:59:47,apk ojek makin goblokkkkkk gada bagusnya kntl,negatif
Putra Kurnia,2,driver nya pilih pilih,2026-03-30 21:52:13,driver nya pilih pilih,negatif
cor chon chanel,1,"bnyak driver nakal,, diapliksi tulisnya 12rbu glirn byar mintanya 30rbu.hati"" klo plat beda dgn nmor yg trcntum diaplksi jgn mau.hnya modus.",2026-03-30 21:49:04,bnyak driver nakal diapliksi tulisnya rbu glirn byar mintanya rbuhati klo plat beda dgn nmor yg trcntum diaplksi jgn mauhnya modus,negatif
Muhammad Sukron,1,tolong drivernya yang kompeten saya sudah nunggu lama udah sampai di cancel,2026-03-30 21:32:59,tolong drivernya yang kompeten saya sudah nunggu lama udah sampai di cancel,negatif
Devi Firdaus,5,great app,2026-03-30 19:59:51,great app,positif
Rendi Prtma,5,mantp,2026-03-30 19:14:52,mantp,positif
Veri Kurniawan,1,cs layanan nya jelek ga member solusi,2026-03-30 19:02:12,cs layanan nya jelek ga member solusi,negatif
Elseria Naibaho,1,DRIVER TERSEBUT (DALAM GAMBAR SCREENSHOT TERLAMPIR) MELAKUKAN PELANGGARAN DALAM MEMBERIKAN PELAYANAN KEPADA SAYA SELAKU PELANGGAN !,2026-03-30 18:53:58,driver tersebut dalam gambar screenshot terlampir melakukan pelanggaran dalam memberikan pelayanan kepada saya selaku pelanggan,negatif
gagan sugandiatmawijaya,5,Bagus,2026-03-30 17:35:42,bagus,positif
rre,5,Bagus banget aplikasinya🥺,2026-03-30 17:19:06,bagus banget aplikasinya,positif
yatno back,1,Mulai bosok 🤣,2026-03-30 17:01:01,mulai bosok,negatif
fikri manda,5,terimakasih,2026-03-30 16:38:29,terimakasih,positif
Sumardi Laga,5,segala sesuatu menjadi lebih mudah,2026-03-30 16:32:37,segala sesuatu menjadi lebih mudah,positif
Kartika Islamiya,4,"bagus applikasi nya cuman buat gofood banyakin voucher gratis ongkir, untuk transaksi under 20 ribu dong 🙏🏻",2026-03-30 16:28:27,bagus applikasi nya cuman buat gofood banyakin voucher gratis ongkir untuk transaksi under ribu dong,positif
andy 689,5,mantaaaap,2026-03-30 16:12:01,mantaaaap,positif
Okta Piani,5,"yaoooooo berguna banget buat aku yang suka mageran ini, pelayanan nya juga oke2",2026-03-30 15:58:52,yaoooooo berguna banget buat aku yang suka mageran ini pelayanan nya juga oke,positif
Slamet Sugiyanto,5,jos,2026-03-30 15:55:24,jos,positif
dhini yulianita,1,"Selama 10 Tahun Pake Gojek, Baru Sebulan ini merasa SANGAT KECEWA. 1. Argo Selangit tapi buat dapet Driver Lamanya minta ampun; sekalinya dapet Jauh, nunggu lagi; 2. Order Gofood juga susah buat dapet driver, harus nunggu 30-45 menit baru bisa cancel.. Itupun belum tentu dapet driver. Sekalinya dapet, mesti nunggu lagi makanan untuk dibuat; 3. Dari dulu kalo Hujan Lelet. Gojek Gak Menghargai Customer kalo begini caranya!!",2026-03-30 15:43:20,selama tahun pake gojek baru sebulan ini merasa sangat kecewa argo selangit tapi buat dapet driver lamanya minta ampun sekalinya dapet jauh nunggu lagi order gofood juga susah buat dapet driver harus nunggu menit baru bisa cancel itupun belum tentu dapet driver sekalinya dapet mesti nunggu lagi makanan untuk dibuat dari dulu kalo hujan lelet gojek gak menghargai customer kalo begini caranya,negatif
ARIF RAHMANSYAH,5,MANTAAAAAP 👍,2026-03-30 15:34:32,mantaaaaap,positif
Chiechie Salon,2,tolong di perbaiki LG susah dapat driver Skali nya dapat lama jadi kesel,2026-03-30 15:29:38,tolong di perbaiki lg susah dapat driver skali nya dapat lama jadi kesel,negatif
MONKEY MAGIC22,5,mantul,2026-03-30 15:27:36,mantul,positif
fellinda meita,1,koruptor,2026-03-30 15:20:16,koruptor,negatif
Ardi Susanto,1,Putar-putar cari driver pembayaran tunai,2026-03-30 15:07:36,putarputar cari driver pembayaran tunai,negatif
Nur Hanifah,5,"u've to download it😙 update 30 Maret 2026, skrg pesan gofood mencari driver LAMAAA BANGET. itu tuh kenapa??? saya di fnb jg gitu, pesanan lama di pick up dan berujung cancel. toko rugi, buang waktu customer nunggu makanan.",2026-03-30 15:06:37,uve to download it update maret skrg pesan gofood mencari driver lamaaa banget itu tuh kenapa saya di fnb jg gitu pesanan lama di pick up dan berujung cancel toko rugi buang waktu customer nunggu makanan,positif
yogi suryono,1,"lemot cari driver keburu asam lambung ,aplikasi nya yg lemot",2026-03-30 15:06:23,lemot cari driver keburu asam lambung aplikasi nya yg lemot,negatif
Nur Nonaa,5,smua baguss,2026-03-30 14:50:01,smua baguss,positif
Berbard Bir,1,"tolong bilangin gojek daerah Dawuan Karawang, ga usah blagu kalo dpt order 10k, nnti anyep koar2.",2026-03-30 14:49:13,tolong bilangin gojek daerah dawuan karawang ga usah blagu kalo dpt order k nnti anyep koar,negatif
Windia Ajah,4,susah bgt dapet driver pdhl lokasinya driver nya pada deket bgt tapi susah bgt,2026-03-30 14:46:27,susah bgt dapet driver pdhl lokasinya driver nya pada deket bgt tapi susah bgt,positif
RATNA NINGSIH,2,"pesan gofood sdh hampir 1jam tiba² restonya membatalkan pesanan,supeer² kecewa berat sama restonya knpa GK dari awal kasih info,bagusnya kasih bintang 1 resto macam itu",2026-03-30 14:45:28,pesan gofood sdh hampir jam tiba restonya membatalkan pesanansupeer kecewa berat sama restonya knpa gk dari awal kasih infobagusnya kasih bintang resto macam itu,negatif
Aconk Cong,1,Satu aja dulu klw bagus kasih bintang 7 puyer Go-Jek lemot perbaikin LG,2026-03-30 14:41:03,satu aja dulu klw bagus kasih bintang puyer gojek lemot perbaikin lg,negatif
Putra akhir,1,tolong perbaiki lagi aplikasinya sama supir nya mobil ga bergerak-gerak terus,2026-03-30 14:39:04,tolong perbaiki lagi aplikasinya sama supir nya mobil ga bergerakgerak terus,negatif
Bobby Saputra,2,"makin hari makin susah dapat driver, mana markup harga tinggi",2026-03-30 14:29:23,makin hari makin susah dapat driver mana markup harga tinggi,negatif
Zul Kifli,5,Mantap,2026-03-30 14:28:27,mantap,positif
Su Hendi,1,resto nya banyak.yang bermasalah dalam konfirmasi dan penutupan makanan habis ..di tambah lagi driver nya sulit dapat ..kalau argo murah ...ini menyulitkan konsumen yang sedang butuh ..kalau begini bukan serba gapang tapi serba susah..jika begini terus kedepan nya saya rasak bakal rusak pelayanan gojek ini,2026-03-30 14:26:12,resto nya banyakyang bermasalah dalam konfirmasi dan penutupan makanan habis di tambah lagi driver nya sulit dapat kalau argo murah ini menyulitkan konsumen yang sedang butuh kalau begini bukan serba gapang tapi serba susahjika begini terus kedepan nya saya rasak bakal rusak pelayanan gojek ini,negatif
Rohmadi Prasetyo,5,memudahkan dlm transportasi darat,2026-03-30 14:25:09,memudahkan dlm transportasi darat,positif
Rizki Rahmat,5,cocok,2026-03-30 14:21:51,cocok,positif
Arifa Mutiara Ramadhani,1,"driver nya pilih pilih, g mau kalau pesen dari aplikasi maunya langsung Carter dn harga ny lebih mahal dari harga apk",2026-03-30 14:21:18,driver nya pilih pilih g mau kalau pesen dari aplikasi maunya langsung carter dn harga ny lebih mahal dari harga apk,negatif
Desi Purnamasari,4,bagusss terima kasih,2026-03-30 14:19:53,bagusss terima kasih,positif
Bayu 99,5,bagus dan yama,2026-03-30 14:15:46,bagus dan yama,positif
Evan Febrian,1,"nih baru aja gofood pake reguler, padahal lagi ngga rame pasti di notifikasinya selalu telat. gila emang kita diminta bayar lebih untuk pake ongkir yg lebih mahal (padahal yg mahal sama aja telat juga)",2026-03-30 14:01:16,nih baru aja gofood pake reguler padahal lagi ngga rame pasti di notifikasinya selalu telat gila emang kita diminta bayar lebih untuk pake ongkir yg lebih mahal padahal yg mahal sama aja telat juga,negatif
Mas Karebet,5,Sangat membantu aktivitas perjalanan saya,2026-03-30 14:01:01,sangat membantu aktivitas perjalanan saya,positif
Ridho bagass2806,1,"jadwal selalu nd sesuai aplikasi,kadang di aplikasi jam 20:10 bakal dianterin eh malah nunggu sejam an,kadang disuru cencel sm apk ny",2026-03-30 13:50:35,jadwal selalu nd sesuai aplikasikadang di aplikasi jam bakal dianterin eh malah nunggu sejam ankadang disuru cencel sm apk ny,negatif
Sabekti Udoyo,5,Bagus,2026-03-30 13:46:07,bagus,positif
Dewi aryani Satria,1,"titik pengantaran tidak sesuai padahal gps saya aktif, jadinya saya berantem sama abg gojeknya, saya pesan dari rumah malah d antarnya ketempat lain",2026-03-30 13:44:45,titik pengantaran tidak sesuai padahal gps saya aktif jadinya saya berantem sama abg gojeknya saya pesan dari rumah malah d antarnya ketempat lain,negatif
MUA AMAR,1,"saya pesen gofood,tapi malah kaga dapet driver pengantarnya dan disuruh nunggu keterlambatan lamaa bgtt😡",2026-03-30 13:35:17,saya pesen gofoodtapi malah kaga dapet driver pengantarnya dan disuruh nunggu keterlambatan lamaa bgtt,negatif
Priyo Setiawan Driver,5,bersih sopan cepat,2026-03-30 13:33:00,bersih sopan cepat,positif
stroberi,1,selalu dapet driver yg gasopan,2026-03-30 13:27:58,selalu dapet driver yg gasopan,negatif
Asih Sukaesih,2,lelet lelet lelet lelet lelet lelet selalu kaya gitu,2026-03-30 13:22:05,lelet lelet lelet lelet lelet lelet selalu kaya gitu,negatif
Ruby,5,mantap,2026-03-30 13:15:46,mantap,positif
NELSYA AVIFA DEWI,1,"penyelesaian masalah kaalian sampah, tanggapan CS kalian lebih sampah",2026-03-30 13:11:47,penyelesaian masalah kaalian sampah tanggapan cs kalian lebih sampah,negatif
Jay Fals,5,memudahkan segalanya,2026-03-30 13:08:41,memudahkan segalanya,positif
Muhammad Iqbal,5,nyaman aja sama gojek,2026-03-30 13:06:19,nyaman aja sama gojek,positif
MASRUR WA,5,Puasssssss,2026-03-30 12:59:35,puasssssss,positif
Muhammad Rafli,1,udh lama pake gojek dan gopay bahkan transaksi bulanan bisa sampe 12juta tapi kalo nyari driver harus nunggu sampe 1jam lebih dan banyak vitur yang ga bisa di akses kaya gopay pinjam dan gopayletter juga gabisa huh,2026-03-30 12:58:20,udh lama pake gojek dan gopay bahkan transaksi bulanan bisa sampe juta tapi kalo nyari driver harus nunggu sampe jam lebih dan banyak vitur yang ga bisa di akses kaya gopay pinjam dan gopayletter juga gabisa huh,negatif
